Vds Id
-2.0000000000e+00 -4.4603172960e-10 
-1.9000000000e+00 -4.4530929780e-10 
-1.8000000000e+00 -4.4454462260e-10 
-1.7000000000e+00 -4.4373071070e-10 
-1.6000000000e+00 -4.4285921000e-10 
-1.5000000000e+00 -4.4192336410e-10 
-1.4000000000e+00 -4.4090683300e-10 
-1.3000000000e+00 -4.3980018630e-10 
-1.2000000000e+00 -4.3858074200e-10 
-1.1000000000e+00 -4.3722501260e-10 
-1.0000000000e+00 -4.3569187850e-10 
-9.0000000000e-01 -4.3392757280e-10 
-8.0000000000e-01 -4.3184407670e-10 
-7.0000000000e-01 -4.2928539850e-10 
-6.0000000000e-01 -4.2591828010e-10 
-5.0000000000e-01 -4.2052941100e-10 
-4.0000000000e-01 -4.0714723180e-10 
-3.0000000000e-01 -3.7026831950e-10 
-2.0000000000e-01 -2.9480603560e-10 
-1.0000000000e-01 -1.7275360150e-10 
-4.8218585280e-16 -1.6748453550e-17 
