EXPORTED XY-GRAPH DATA
Vds Id
-2.0000000000e+00 -3.7717502590e-13 
-1.9000000000e+00 -3.7469461920e-13 
-1.8000000000e+00 -3.7555589130e-13 
-1.7000000000e+00 -3.7576957300e-13 
-1.6000000000e+00 -3.7416465060e-13 
-1.5000000000e+00 -3.7402911240e-13 
-1.4000000000e+00 -3.7311305900e-13 
-1.3000000000e+00 -3.7266407820e-13 
-1.2000000000e+00 -3.7111948260e-13 
-1.1000000000e+00 -3.7102133310e-13 
-1.0000000000e+00 -3.6955501580e-13 
-9.0000000000e-01 -3.6939589860e-13 
-8.0000000000e-01 -3.6827426020e-13 
-7.0000000000e-01 -3.6738540870e-13 
-6.0000000000e-01 -3.6592988560e-13 
-5.0000000000e-01 -3.6440118050e-13 
-4.0000000000e-01 -3.6262216750e-13 
-3.0000000000e-01 -3.6046748100e-13 
-2.0000000000e-01 -3.5760368230e-13 
-1.0000000000e-01 -3.4689819640e-13 
-4.8218585280e-16 6.1432062910e-16 
